Image Folder,Image Name,Anomaly Score,Predicted Label
broken_small,003.png,0.9396,True
broken_small,002.png,0.9129,True
broken_small,015.png,0.8976,True
broken_small,019.png,0.9495,True
broken_small,004.png,0.9629,True
broken_small,007.png,0.8720,True
broken_small,018.png,0.9777,True
broken_small,006.png,0.9151,True
broken_small,020.png,0.9728,True
broken_small,016.png,0.9333,True
broken_small,014.png,0.8588,True
broken_small,008.png,0.8808,True
broken_small,005.png,0.8736,True
broken_small,017.png,0.9663,True
broken_small,001.png,0.9224,True
broken_small,011.png,0.9050,True
broken_small,000.png,0.8731,True
broken_small,021.png,0.9426,True
broken_small,010.png,0.9118,True
broken_small,012.png,0.9164,True
broken_small,013.png,0.9204,True
broken_small,009.png,0.9364,True
contamination,003.png,0.8580,True
contamination,002.png,0.8359,True
contamination,015.png,0.8972,True
contamination,019.png,0.8353,True
contamination,004.png,0.8322,True
contamination,007.png,0.9940,True
contamination,018.png,1.0085,True
contamination,006.png,0.9373,True
contamination,020.png,0.8304,True
contamination,016.png,0.8384,True
contamination,014.png,0.8913,True
contamination,008.png,0.8986,True
contamination,005.png,0.9594,True
contamination,017.png,1.0153,True
contamination,001.png,0.8307,True
contamination,011.png,0.8328,True
contamination,000.png,0.9306,True
contamination,010.png,0.9177,True
contamination,012.png,0.8372,True
contamination,013.png,0.9394,True
contamination,009.png,0.9170,True
good,003.png,0.8387,True
good,002.png,0.8336,True
good,015.png,0.8314,True
good,019.png,0.8436,True
good,004.png,0.8348,True
good,007.png,0.8373,True
good,018.png,0.8331,True
good,006.png,0.8327,True
good,016.png,0.8384,True
good,014.png,0.8346,True
good,008.png,0.8359,True
good,005.png,0.8343,True
good,017.png,0.8365,True
good,001.png,0.8327,True
good,011.png,0.8367,True
good,000.png,0.8353,True
good,010.png,0.8376,True
good,012.png,0.8349,True
good,013.png,0.8376,True
good,009.png,0.8282,True
broken_large,003.png,0.9297,True
broken_large,002.png,0.9541,True
broken_large,015.png,0.9573,True
broken_large,019.png,0.9006,True
broken_large,004.png,0.9478,True
broken_large,007.png,0.8953,True
broken_large,018.png,0.9669,True
broken_large,006.png,0.9582,True
broken_large,016.png,0.9440,True
broken_large,014.png,0.9384,True
broken_large,008.png,0.9304,True
broken_large,005.png,0.9022,True
broken_large,017.png,0.9319,True
broken_large,001.png,0.9163,True
broken_large,011.png,0.8971,True
broken_large,000.png,0.9690,True
broken_large,010.png,0.9316,True
broken_large,012.png,0.9241,True
broken_large,013.png,0.9211,True
broken_large,009.png,0.8965,True
